quiz_id,quiz_title,question_id,type,card_id,text,answers,correct,explanation
QUIZ_ROM_001,Birth of Rome,Q001,SINGLE_CHOICE,EVT_ROM_001,Какая дата традиционно считается датой основания Рима?,"[""753 BCE"", ""509 BCE"", ""216 BCE"", ""44 BCE""]",0,"753 BCE — традиционная дата основания Рима. Это именно традиция, не точная археологическая дата."
QUIZ_ROM_001,Birth of Rome,Q002,MYTH_FACT,PER_ROM_001,История Ромула и Рема — это надёжно подтверждённый документальный факт?,"[""Да"", ""Нет""]",1,"Нет. Это мифо-историческая традиция, важная для римской идентичности."
QUIZ_ROM_002,Republic Basics,Q003,SINGLE_CHOICE,STATE_ROM_002,Римская республика была современной демократией?,"[""Да"", ""Нет"", ""Только при Цезаре"", ""Только во время Империи""]",1,"Нет. В ней были выборы и собрания, но власть элиты и Сената была огромной."
QUIZ_ROM_002,Republic Basics,Q004,SINGLE_CHOICE,ORG_ROM_001,Какой орган был ключевым центром влияния римской элиты?,"[""Сенат"", ""Колизей"", ""Акведук"", ""Преторианская гвардия""]",0,Сенат был одним из главных центров политического влияния.
QUIZ_ROM_003,Rome vs Carthage,Q005,SINGLE_CHOICE,PER_CAR_001,Кто был главным карфагенским командиром во Второй Пунической войне?,"[""Ганнибал"", ""Сципион"", ""Цезарь"", ""Август""]",0,Ганнибал Барка — главный карфагенский командир войны.
QUIZ_ROM_003,Rome vs Carthage,Q006,SINGLE_CHOICE,BAT_ROM_002,Какая битва завершила войну победой Рима?,"[""Канны"", ""Зама"", ""Фарсал"", ""Акций""]",1,Зама в 202 BCE закрепила поражение Карфагена.
QUIZ_ROM_004,Caesar's Civil War,Q007,SINGLE_CHOICE,EVT_ROM_003,Что символизирует переход Рубикона?,"[""Торговый договор"", ""Точку невозврата"", ""Основание города"", ""Религиозную реформу""]",1,Переход Рубикона стал символом необратимого политического шага.
QUIZ_ROM_004,Caesar's Civil War,Q008,SINGLE_CHOICE,PER_ROM_003,В каком году был убит Юлий Цезарь?,"[""49 BCE"", ""44 BCE"", ""27 BCE"", ""14 CE""]",1,Цезарь был убит в 44 BCE.
QUIZ_ROM_005,From Republic to Empire,Q009,SINGLE_CHOICE,PER_ROM_004,Кем был Август в римской истории?,"[""Первым римским императором"", ""Последним царём Рима"", ""Карфагенским полководцем"", ""Плебейским трибуном""]",0,Август считается первым римским императором.
QUIZ_ROM_005,From Republic to Empire,Q010,CARD_CONNECTION,PER_ROM_004,Какая связь лучше описывает Цезаря и Августа?,"[""Цезарь открыл путь к власти Августа"", ""Август победил Цезаря при Каннах"", ""Август основал Карфаген"", ""Цезарь был учеником Ганнибала""]",0,Цезарь был политическим предшественником и приёмным отцом-наследодателем Августа.
