id,source,target,type,description
REL_001,PER_ROM_001,EVT_ROM_001,ОСНОВАТЕЛЬ_МИФА,Ромул связан с мифом основания Рима.
REL_002,EVT_ROM_001,STATE_ROM_001,ОТКРЫВАЕТ_ПЕРИОД,Миф основания ведёт к рассказу о царском периоде.
REL_003,STATE_ROM_001,EVT_ROM_002,ПРЕДШЕСТВУЕТ,Римское царство заканчивается традицией изгнания царей.
REL_004,EVT_ROM_002,STATE_ROM_002,ПРИЧИНА,Изгнание царей стало мифом рождения Республики.
REL_005,STATE_ROM_002,ORG_ROM_001,ЧАСТЬ_СИСТЕМЫ,Сенат был ключевым органом республиканской политики.
REL_006,PER_CAR_001,WAR_ROM_001,УЧАСТНИК,Ганнибал — главный карфагенский полководец Второй Пунической войны.
REL_007,WAR_ROM_001,BAT_ROM_001,СОДЕРЖИТ,Канны — одна из решающих битв войны.
REL_008,PER_CAR_001,BAT_ROM_001,КОМАНДУЮЩИЙ,Ганнибал командовал карфагенянами при Каннах.
REL_009,PER_ROM_002,BAT_ROM_002,КОМАНДУЮЩИЙ,Сципион командовал римлянами при Заме.
REL_010,BAT_ROM_002,WAR_ROM_001,ЗАВЕРШАЕТ,Зама стала финальным ударом по Карфагену во Второй Пунической войне.
REL_011,STATE_ROM_002,PER_ROM_003,КРИЗИС,Карьера Цезаря стала итогом кризиса Республики.
REL_012,PER_ROM_003,EVT_ROM_003,ДЕЙСТВИЕ,Переход через Рубикон связан с решением Цезаря начать гражданскую войну.
REL_013,EVT_ROM_003,PER_ROM_004,ПОСЛЕДСТВИЕ,Гражданские войны открыли путь к власти Августа.
REL_014,PER_ROM_004,STATE_ROM_002,ТРАНСФОРМАЦИЯ,"Август формально сохранил республиканские формы, но создал императорскую систему."
REL_B01,PER_ROM_006,PER_ROM_001,МАТЬ,Рея Сильвия считается матерью Ромула в мифе.
REL_B02,PER_ROM_006,PER_ROM_005,МАТЬ,Рея Сильвия считается матерью Рема в мифе.
REL_B03,PER_ROM_001,PER_ROM_005,БРАТ,Ромул и Рем — близнецы римского предания.
REL_B04,EVT_ROM_001,LOC_ROM_001,МЕСТО,Миф помещает основание города на Палатин.
REL_B05,LOC_ROM_001,REG_ROM_001,НАХОДИТСЯ_В,Палатин находится в древнем Лации.
REL_B06,ART_ROM_001,EVT_ROM_001,СИМВОЛ,Капитолийская волчица стала символом основания Рима.
REL_B07,CUL_ROM_001,EVT_ROM_005,УЧАСТНИК,Сабиняне участвуют в легенде о похищении сабинянок.
REL_B08,EVT_ROM_005,PER_ROM_007,ПРЕДШЕСТВУЕТ,После примирения римско-сабинская линия ведёт к образу Нумы.
REL_B09,PER_ROM_007,ORG_ROM_002,УЧРЕДИТЕЛЬ_ТРАДИЦИИ,Традиция связывала Нуму с культом весталок.
REL_B10,CUL_ROM_002,PER_ROM_008,КУЛЬТУРНАЯ_СВЯЗЬ,Тарквиний Древний связан с этрусской династией.
REL_B11,PER_ROM_008,LOC_ROM_002,РАЗВИТИЕ_ГОРОДА,С его эпохой связывали развитие Форума.
REL_B12,LOC_ROM_002,STATE_ROM_001,ЦЕНТР,Форум стал центром царского Рима.
REL_B13,PER_ROM_009,EVT_ROM_002,ПРИЧИНА_МИФА,Изгнание Тарквиния Гордого завершает царский период.
REL_B14,STATE_ROM_001,PER_ROM_009,ПОСЛЕДНИЙ_ПРАВИТЕЛЬ,Тарквиний Гордый считается последним царём.
REL_ARC_001,CITY_ARC_001,PER_ROM_006,ORIGIN_OF,Альба-Лонга считалась родиной династии Реи Сильвии.
REL_ARC_002,REG_ARC_001,EVT_ROM_001,GEOGRAPHY_OF,Тибр объясняет место возникновения и рост Рима.
REL_ARC_003,REL_ARC_001,PER_ROM_001,PRACTICED_BY,Спор Ромула и Рема в легенде связан с толкованием знамений.
REL_ARC_004,PER_ARC_001,CUL_ROM_001,RULED,Тит Татий выступает сабинским царём в легендарной традиции.
REL_ARC_005,PER_ARC_002,EVT_ROM_005,PART_OF,История Тарпеи входит в цикл сабинской войны.
REL_ARC_006,REL_ARC_002,PER_ROM_007,FOUNDED_BY,Обычай дверей Януса традиция связывала с Нумой.
REL_ARC_007,PER_ARC_003,REG_ARC_001,DEVELOPED,Анку Марцию приписывали мост и развитие пути к морю.
REL_ARC_008,PER_ARC_004,STATE_ROM_001,REFORMED,Сервию приписывали преобразование царского Рима.
REL_ARC_009,ART_ARC_001,LOC_ROM_002,ENABLED,Осушение низины помогло развитию пространства Форума.
REL_ARC_010,ART_ARC_002,PER_ARC_004,NAMED_AFTER,"Стена носит имя Сервия, хотя основные остатки позднее."
REL_ARC_011,PER_ARC_005,EVT_ROM_002,CAUSE,История Лукреции стала поводом к изгнанию царей.
REL_ARC_012,PER_ARC_006,EVT_ROM_002,LED,Брут возглавляет изгнание Тарквиниев в римской традиции.
REL_ARC_013,ORG_ARC_001,STATE_ROM_002,INSTITUTION_OF,Консулы стали высшими ежегодными магистратами Республики.
REL_ARC_014,ART_ARC_003,ORG_ARC_001,SYMBOL_OF,Фасции обозначали власть магистратов.
REL_043,PER_REP_001,PER_ARC_005,CONFLICT_WITH,Преступление Секста над Лукрецией стало центром предания о падении Тарквиниев.
REL_044,PER_ARC_005,EVT_REP_001,CAUSE,Смерть Лукреции ведёт к клятве и восстанию в римской традиции.
REL_045,PER_ARC_006,EVT_REP_001,FOUNDED_BY,Брут произносит клятву против царской власти.
REL_046,EVT_REP_001,EVT_ROM_002,CAUSE,Клятва становится символическим началом изгнания царей.
REL_047,PER_REP_002,ORG_ARC_001,RULED_BY,Коллатин был одним из первых консулов по традиции.
REL_048,PER_REP_003,STATE_ROM_002,INFLUENCED,Публикола воплощает ранний идеал ограниченной республиканской власти.
REL_049,BAT_REP_001,PER_ARC_006,CONSEQUENCE,В традиции Брут погибает в столкновении с союзниками Тарквиниев.
REL_050,CUL_REP_001,CUL_REP_002,CONFLICT_WITH,Различие патрициев и плебеев лежит в основе традиционной борьбы сословий.
REL_051,CUL_REP_002,EVT_REP_002,CAUSE,Плебейское недовольство приводит к коллективной сецессии.
REL_052,EVT_REP_002,ORG_REP_001,CONSEQUENCE,Первую сецессию связывают с учреждением трибуната.
REL_053,ORG_REP_001,EVT_REP_003,PART_OF,Народные трибуны стали центральным инструментом плебейской борьбы.
REL_054,EVT_REP_003,LAW_REP_001,CONSEQUENCE,Давление плебеев связывают с появлением публичного письменного права.
REL_055,ORG_REP_002,LAW_REP_001,FOUNDED_BY,Децемвиры составили таблицы по традиции.
REL_056,PER_REP_004,PER_REP_005,CONFLICT_WITH,Предание об Аппии и Вергинии объясняет падение децемвиров.
REL_057,PER_REP_005,EVT_REP_004,CAUSE,Гибель Вергинии становится катализатором новой сецессии.
REL_058,EVT_REP_004,LAW_REP_001,CONSEQUENCE,После кризиса традиция помещает окончательную публикацию таблиц.
REL_059,LOC_AREP_001,ORG_ROM_001,LOCATED_IN,Комиций и ранняя курия образовывали политический узел рядом с сенатом.
REL_060,LOC_AREP_002,ORG_ROM_001,LOCATED_IN,Курия Гостилия считалась ранним местом заседаний сената.
REL_061,PER_AREP_002,LOC_AREP_003,LOCATED_IN,Подвиг Коклеса разворачивается у Свайного моста.
REL_062,PER_AREP_003,PER_AREP_005,CONFLICT_WITH,Муций действует в лагере Порсены.
REL_063,PER_AREP_004,PER_AREP_005,CONFLICT_WITH,Клелия была заложницей в договоре с Порсеной.
REL_064,PER_AREP_005,STATE_ROM_002,CONFLICT_WITH,По традиции Порсена угрожал молодой Республике.
REL_065,BAT_AREP_001,PER_ROM_009,ALLY,Тарквинии связываются с попыткой вернуться при поддержке латинов.
REL_066,ORG_AREP_001,ART_ARC_003,PART_OF,Ликторы несли фасции перед магистратами.
REL_067,ORG_AREP_002,LOC_AREP_001,LOCATED_IN,Куриатное собрание связано с Комицием.
REL_068,ORG_AREP_003,ORG_ARC_001,INFLUENCED,Центуриатные комиции избирали консулов.
REL_069,ORG_AREP_004,STATE_ROM_002,PART_OF,Квесторы стали одной из магистратур Республики.
REL_070,ART_AREP_001,ORG_ARC_001,PART_OF,Курульное кресло было знаком высших магистратов.
REL_071,TERM_AREP_001,ART_ARC_003,INFLUENCED,Внутри померия топоры из фасций традиционно убирались.
REL_072,LOC_AREP_004,CUL_REP_002,CULTURAL_LINK,Авентин ассоциировался с плебейской общиной.
REL_073,LOC_AREP_005,EVT_REP_002,LOCATED_IN,Священная гора считается традиционным местом сецессии.
REL_074,ORG_AREP_005,ORG_REP_001,PART_OF,Трибуны председательствовали в плебейском совете.
REL_075,ORG_AREP_006,ORG_REP_001,ALLY,Плебейские эдилы помогали трибунам.
REL_076,LAW_AREP_001,ORG_REP_001,RELIGIOUS_LINK,Священный закон обеспечивал неприкосновенность трибунов.
REL_077,TERM_AREP_002,EVT_REP_002,CAUSE,Долговая зависимость входит в традиционные объяснения сецессии.
REL_078,PER_AREP_006,STATE_ROM_002,CULTURAL_LINK,Цинциннат стал идеалом временной чрезвычайной власти.
REL_079,PER_AREP_007,STATE_ROM_002,PART_OF,Тит Ларций связан с ранней традицией римской диктатуры.
